OBJECTID,linqmap_type,linqmap_subtype,pubDate,linqmap_reportDescription,linqmap_city,linqmap_street,linqmap_nearby,linqmap_roadType,linqmap_reportMood,linqmap_reportRating,linqmap_expectedBeginDate,linqmap_expectedEndDate,linqmap_magvar,nComments,linqmap_reliability,update_date,x,y,test_set
97033,ROAD_CLOSED,ROAD_CLOSED_EVENT,04/22/2022 12:08:20,,תל אביב - יפו,שתולים,,1,0,0,,,0,0,10,1653475982599,180774.21999999974,661479.4800000004,2
97034,JAM,JAM_STAND_STILL_TRAFFIC,05/25/2022 10:42:32,,תל אביב - יפו,ערבי נחל,,2,0,5,,,312,0,5,1653475982599,181088.23000000045,665279.6799999997,2
97041,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/10/2022 11:37:10,,תל אביב - יפו,ארלוזורוב,,2,0,0,,,0,0,10,1653475982602,178747.04000000004,666085.1899999995,3
97043,ROAD_CLOSED,ROAD_CLOSED_EVENT,12/10/2021 12:47:37,,תל אביב - יפו,הר ציון,,2,0,0,,,0,0,10,1653475982602,179211.83999999985,663036.8800000008,3
97044,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/30/2022 17:20:25,,תל אביב - יפו,קפריסין,,1,0,0,,,0,0,10,1653475982602,182658.25999999978,669383.8599999994,3
97047,JAM,JAM_HEAVY_TRAFFIC,05/25/2022 10:49:39,,תל אביב - יפו,לבנדה,,2,0,5,,,14,0,6,1653475982603,179651.8799999999,662689.3399999999,3
97063,JAM,,05/25/2022 10:36:32,,תל אביב - יפו,דרך חיל השריון,,2,0,5,,,9,0,6,1653475982608,179706.28000000026,661337.3599999994,4
97064,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/22/2022 16:00:02,,תל אביב - יפו,בן יהודה,,2,0,0,,,0,0,10,1653475982608,178618.1799999997,665686.4600000009,4
97070,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/03/2022 14:42:06,,תל אביב - יפו,שד ירושלים,,2,0,0,,,0,0,10,1653475982610,177424.86000000034,662262.4000000004,4
97084,ROAD_CLOSED,ROAD_CLOSED_EVENT,01/10/2022 14:00:03,,תל אביב - יפו,השומרון,,2,0,0,,,0,0,10,1653475982614,179225.83999999985,663041.8200000003,4
97384,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/22/2022 16:00:02,,תל אביב - יפו,בן יהודה,,2,0,0,,,0,0,10,1653475982713,178618.1799999997,665686.4600000009,5
97385,ROAD_CLOSED,ROAD_CLOSED_EVENT,05/04/2022 17:00:00,,תל אביב - יפו,בן סרוק,,1,0,0,,,0,0,7,1653475982714,179719.23000000045,665936.1300000008,5
97388,JAM,JAM_HEAVY_TRAFFIC,05/25/2022 10:43:27,,תל אביב - יפו,הטייסים,,2,0,5,,,343,0,6,1653475982715,182552.03000000026,662074.6799999997,5
97390,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/06/2022 09:05:17,,תל אביב - יפו,שד ירושלים,,2,0,0,,,0,0,6,1653475982716,177405.6900000004,662240.8399999999,5
97401,JAM,JAM_STAND_STILL_TRAFFIC,05/25/2022 10:50:22,,תל אביב - יפו,רמז,,2,0,5,,,4,0,5,1653475982719,180009.66999999993,666434.2699999996,6
97406,JAM,JAM_HEAVY_TRAFFIC,05/25/2022 10:47:40,,תל אביב - יפו,לה גווארדיה,,2,0,5,,,268,0,5,1653475982721,181464.11000000034,662956.6199999992,6
97407,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/07/2022 21:14:58,,תל אביב - יפו,לוינסקי,,17,0,0,,,0,0,10,1653475982721,178661.00999999978,663015.4499999993,6
97416,WEATHERHAZARD,HAZARD_ON_ROAD_CONSTRUCTION,05/25/2022 10:50:48,,תל אביב - יפו,לה גווארדיה,,2,0,5,,,269,0,5,1653475982724,181337.65000000037,662954.2100000009,6
99491,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,05/25/2022 11:29:34,,תל אביב - יפו,משה סנה,,2,0,5,,,352,0,8,1653479582566,183678.33000000007,669750.7100000009,7
99493,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/22/2022 16:00:02,,תל אביב - יפו,בן יהודה,,2,0,0,,,0,0,10,1653479582567,178618.1799999997,665686.4600000009,7
99494,ROAD_CLOSED,ROAD_CLOSED_EVENT,05/04/2022 17:00:00,,תל אביב - יפו,בן סרוק,,1,0,0,,,0,0,7,1653479582568,179719.23000000045,665936.1300000008,7
99496,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/06/2022 09:05:17,,תל אביב - יפו,שד ירושלים,,2,0,0,,,0,0,6,1653479582569,177405.6900000004,662240.8399999999,7
101468,JAM,JAM_STAND_STILL_TRAFFIC,05/25/2022 12:45:45,,תל אביב - יפו,דרך נמיר,,2,0,5,,,351,0,5,1653483182569,180646.16999999993,667555.9800000004,8
101469,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,05/25/2022 12:50:57,,תל אביב - יפו,דרך חיים בר-לב,,2,0,5,,,282,0,6,1653483182569,182474.83000000007,661337.5399999991,8
101470,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/06/2022 09:05:17,,תל אביב - יפו,שד ירושלים,,2,0,0,,,0,0,10,1653483182570,177408.16000000015,662268.3399999999,8
101478,JAM,JAM_STAND_STILL_TRAFFIC,05/25/2022 12:49:31,,תל אביב - יפו,פרישמן,,2,0,5,,,272,0,5,1653483182572,178394.40000000037,665259.1500000004,8
101490,ROAD_CLOSED,ROAD_CLOSED_EVENT,05/04/2022 17:00:00,,תל אביב - יפו,בן סרוק,,1,0,0,,,0,0,7,1653483182576,179719.23000000045,665936.1300000008,9
101491,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,05/25/2022 12:38:11,,תל אביב - יפו,שד רוקח,,2,0,5,,,75,0,7,1653483182576,181410.99000000022,667643.6799999997,9
101492,JAM,JAM_STAND_STILL_TRAFFIC,05/25/2022 12:49:59,,תל אביב - יפו,דרך נמיר,,2,0,5,,,190,0,5,1653483182576,180586.70999999996,668965.7599999998,9
101494,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/06/2022 09:05:17,,תל אביב - יפו,שד ירושלים,,2,0,0,,,0,0,6,1653483182577,177405.6900000004,662240.8399999999,9
103442,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/30/2022 17:20:25,,תל אביב - יפו,קפריסין,,1,0,0,,,0,0,10,1653486782505,182658.25999999978,669383.8599999994,10
103452,WEATHERHAZARD,HAZARD_ON_ROAD_CONSTRUCTION,05/22/2022 06:00:00,עבודות-סגירה חלקית,תל אביב - יפו,רבנו חננאל,,1,0,0,,,103,0,10,1653486782508,178084.6299999999,662379.2200000007,10
103453,JAM,JAM_STAND_STILL_TRAFFIC,05/25/2022 13:28:43,,תל אביב - יפו,ארלוזורוב,,2,0,5,,,106,0,5,1653486782508,180203.40000000037,665679.5800000001,10
103463,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/22/2022 16:00:02,,תל אביב - יפו,בן יהודה,,2,0,0,,,0,0,10,1653486782511,178618.1799999997,665686.4600000009,10
