OBJECTID,linqmap_type,linqmap_subtype,pubDate,linqmap_reportDescription,linqmap_city,linqmap_street,linqmap_nearby,linqmap_roadType,linqmap_reportMood,linqmap_reportRating,linqmap_expectedBeginDate,linqmap_expectedEndDate,linqmap_magvar,nComments,linqmap_reliability,update_date,x,y
16544,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:30:57,,,44 צפון,,6,0,3,,,302,0,5,1652608382317,179290.16000000015,660625.6699999999
16545,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:29:58,,רמת גן,חיבת ציון,,2,0,5,,,275,0,5,1652608382317,183238.34999999963,665181.9499999993
16546,JAM,JAM_HEAVY_TRAFFIC,05/15/2022 09:48:45,,תל אביב - יפו,גשר יצחק מודעי,,2,0,5,,,100,0,6,1652608382317,181093.26999999955,665841.4399999995
16547,JAM,,05/15/2022 09:41:32,,קריית אונו,בן גוריון,,2,0,5,,,332,0,6,1652608382318,186197.33000000007,662436.0500000007
16548,JAM,JAM_HEAVY_TRAFFIC,05/15/2022 09:32:57,,גבעת שמואל,מבצע קדש,,2,0,5,,,280,0,5,1652608382318,185335.15000000037,664852.7699999996
16549,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:37:45,,רמת גן,מקס ואנה ווב,,2,0,5,,,185,0,5,1652608382318,185526.0499999998,663856.3499999996
16550,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 08:59:26,,,1 מערב / 6 צפון,,3,0,5,,,9,0,10,1652608382319,193313.71999999974,648841.6400000006
16551,JAM,JAM_HEAVY_TRAFFIC,05/15/2022 09:32:30,,תל אביב - יפו,שטרית,,2,0,5,,,126,0,5,1652608382319,182785.5,668237.4199999999
16552,WEATHERHAZARD,HAZARD_ON_ROAD_OBJECT,05/15/2022 09:42:01,,,ל-20 איילון צפון,,4,0,5,,,353,0,9,1652608382319,177687.86000000034,658274.0399999991
16553,ROAD_CLOSED,ROAD_CLOSED_EVENT,04/22/2022 12:08:20,,תל אביב - יפו,שתולים,,1,0,0,,,0,0,10,1652608382320,180774.21999999974,661479.4800000004
16554,JAM,JAM_MODERATE_TRAFFIC,05/15/2022 09:21:28,,תל אביב - יפו,שלבים,,2,0,5,,,27,0,5,1652608382320,177850.1799999997,661859.0199999996
16555,WEATHERHAZARD,HAZARD_ON_ROAD_CONSTRUCTION,05/15/2022 09:36:47,,מודיעין-מכבים-רעות,,,2,0,5,,,207,0,7,1652608382320,199204.74000000022,646085.8100000005
16556,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:32:01,,,461 מזרח,,6,0,5,,,100,0,6,1652608382320,190832.5700000003,659113.0600000005
16557,JAM,JAM_MODERATE_TRAFFIC,05/15/2022 09:41:01,,רמת גן,זאב זבוטינסקי,,2,0,5,,,73,0,6,1652608382321,181383.29000000004,665563.5600000005
16558,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,05/15/2022 09:50:58,,,6 דרום,,3,0,5,,,195,0,6,1652608382321,196571.6299999999,672473.0199999996
16559,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:48:10,,רמת גן,בועז,,1,0,5,,,287,0,5,1652608382321,182016.53000000026,665286.3699999992
16560,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,05/15/2022 09:47:46,,רמת גן,מנחם בגין,,2,0,5,,,343,0,5,1652608382322,181251.6799999997,665563.0600000005
16561,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:37:33,,,6 דרום,,3,0,5,,,201,0,10,1652608382322,198104.9400000004,681875.2699999996
16562,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:47:36,,,7 מערב,,3,0,5,,,311,0,5,1652608382322,175307.33000000007,635899.1400000006
16563,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/22/2022 16:00:02,,תל אביב - יפו,בן יהודה,,2,0,0,,,0,0,10,1652608382324,178578.91999999993,665596.5600000005
16564,WEATHERHAZARD,,05/15/2022 09:36:57,,,2 צפון,,3,0,5,,,18,0,10,1652608382324,188495.2000000002,694336.3399999999
16565,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 08:53:44,,,443 מערב,,6,0,5,,,289,0,10,1652608382324,197747.09999999963,650230.2400000002
16566,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,05/15/2022 09:41:31,,,ל-4 תל-אביב,,4,0,5,,,3,0,10,1652608382324,168631.63999999966,631622.2100000009
16567,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,05/15/2022 09:45:03,,,,,3,0,5,,,220,0,10,1652608382324,176771.88999999966,650874.5299999993
16568,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/10/2022 11:37:10,,תל אביב - יפו,ארלוזורוב,,2,0,0,,,0,0,10,1652608382324,178747.04000000004,666085.1899999995
16569,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:11:11,,,4 דרום,,3,0,5,,,210,0,7,1652608382324,187899.26999999955,670703.2799999993
16570,ROAD_CLOSED,ROAD_CLOSED_EVENT,12/10/2021 12:47:37,,תל אביב - יפו,הר ציון,,2,0,0,,,0,0,10,1652608382325,179211.83999999985,663036.8800000008
16571,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,05/15/2022 09:49:11,,,4 דרום,,3,0,5,,,210,0,10,1652608382325,174066.46999999974,643374.6500000004
16572,JAM,JAM_MODERATE_TRAFFIC,05/15/2022 09:33:46,,,40 דרום,,6,0,5,,,171,0,5,1652608382325,191081.08999999985,662495.8800000008
16573,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,05/15/2022 09:50:07,,,6 צפון,,3,0,5,,,11,0,7,1652608382326,184105.91000000015,634400.75
16574,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:50:31,,גבעת שמואל,,,2,0,5,,,37,0,5,1652608382326,186122.46999999974,664465.7699999996
16575,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:20:47,,,461 מערב,,6,0,5,,,282,0,9,1652608382326,186588.8099999996,660191.4399999995
16576,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/30/2022 17:20:25,,תל אביב - יפו,קפריסין,,1,0,0,,,0,0,10,1652608382327,182658.25999999978,669383.8599999994
16577,JAM,JAM_HEAVY_TRAFFIC,05/15/2022 09:48:24,,,4 דרום,,3,0,5,,,191,0,7,1652608382327,189780.9299999997,676776.1500000004
16578,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,05/15/2022 09:48:47,,,40 צפון,,6,0,5,,,354,0,8,1652608382327,191081.01999999955,662603.8900000006
16579,JAM,JAM_HEAVY_TRAFFIC,05/15/2022 09:25:14,,גבעת שמואל,דוד בן גוריון,,2,0,5,,,203,0,7,1652608382328,185641.13999999966,664875.4499999993
16580,JAM,JAM_HEAVY_TRAFFIC,05/15/2022 09:34:58,,,20 איילון צפון,,3,0,5,,,354,0,5,1652608382328,177092.23000000045,653630.1099999994
16581,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:34:57,,רעננה,חפץ חיים,,1,0,5,,,194,0,6,1652608382328,187689.9299999997,676735.3800000008
16582,JAM,JAM_MODERATE_TRAFFIC,05/15/2022 09:47:42,,,4 צפון,,3,0,5,,,21,0,5,1652608382329,180454.58999999985,653702.6899999995
16583,ROAD_CLOSED,ROAD_CLOSED_EVENT,05/04/2022 13:14:39,,יבנה,שד ירושלים,,2,0,0,,,0,0,10,1652608382329,174941.16999999993,644013.75
16584,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:33:52,,,20 איילון צפון,,3,0,5,,,14,0,5,1652608382329,177488.1799999997,656794.8200000003
16585,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 08:55:15,,,20 איילון צפון,,3,0,5,,,11,0,10,1652608382330,177628.11000000034,657366.9399999995
16586,WEATHERHAZARD,HAZARD_ON_ROAD_CONSTRUCTION,02/07/2021 05:00:00,חסר מידע,,,,0,0,0,,,0,0,8,1652608382330,178825.86000000034,665089.1799999997
16587,WEATHERHAZARD,,05/15/2022 09:47:56,,,412 צפון,,6,0,5,,,50,0,6,1652608382330,184676.7999999998,657223.0999999996
16588,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,05/15/2022 09:42:59,,רחובות,יצחק יעקובי,,2,0,5,,,235,0,5,1652608382330,182410.58999999985,643198.1300000008
16589,WEATHERHAZARD,,05/15/2022 09:50:29,,,1 מזרח,,3,0,5,,,128,0,6,1652608382331,191342.83999999985,653672.7699999996
16590,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,05/15/2022 09:46:18,,,ל-ההלכה,,4,0,5,,,14,0,5,1652608382331,181365.8799999999,666260.1400000006
16591,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:43:01,,כפר סבא,"התע""ש",,2,0,5,,,203,0,5,1652608382331,193245.70999999996,675727.4100000001
16592,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,05/15/2022 08:50:44,,ראשון לציון,דוד רמז,,1,0,5,,,7,0,10,1652608382332,180561.65000000037,652405.7300000004
16593,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:44:15,,כפר שמריהו,המעפילים,,2,0,5,,,277,0,5,1652608382332,183227.50999999978,676294.0700000003
16594,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/20/2022 09:00:02,,תל אביב - יפו,מוזס יהודה ונח,,2,0,0,,,0,0,10,1652608382332,180636.83000000007,664833.2699999996
16595,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/22/2022 15:00:03,,אור יהודה,האיריס,,1,0,0,,,0,0,10,1652608382333,187667.66999999993,659861.0099999998
16596,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,05/15/2022 09:40:34,,,412,,7,0,5,,,78,0,9,1652608382334,187025.50999999978,658589.5099999998
16597,JAM,JAM_HEAVY_TRAFFIC,05/15/2022 09:20:10,,פתח תקווה,זאב זבוטינסקי,,2,0,5,,,267,0,6,1652608382334,185874.15000000037,666647.1799999997
16598,ROAD_CLOSED,ROAD_CLOSED_EVENT,04/02/2022 00:22:50,,חולון,,,1,0,0,,,0,0,10,1652608382334,179004.88999999966,658838.9399999995
16599,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:19:23,,,20 איילון צפון,,3,0,5,,,22,0,9,1652608382334,179600.91000000015,661055.6500000004
16600,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,05/15/2022 09:51:24,,,6 דרום,,3,0,5,,,213,0,5,1652608382334,186280.66000000015,637531.2400000002
16601,JAM,,05/15/2022 09:28:18,,,"ל-פתח תקווה, קריית אונו",,4,0,5,,,256,0,5,1652608382334,187279.46999999974,664155.1099999994
16602,JAM,JAM_MODERATE_TRAFFIC,05/15/2022 09:38:01,,פתח תקווה,הרב משה מלכה,,2,0,5,,,188,0,5,1652608382335,187805.16999999993,666538.0800000001
16603,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:24:45,,,461 מערב,,6,0,5,,,284,0,5,1652608382335,186195.6799999997,660282.3100000005
16604,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/22/2022 16:00:02,,תל אביב - יפו,בן יהודה,,2,0,0,,,0,0,10,1652608382335,178618.1799999997,665686.4600000009
16605,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/24/2022 16:37:57,,חולון,אילת,,2,0,0,,,0,0,10,1652608382335,177965.59999999963,658892.7699999996
16606,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,05/15/2022 09:43:32,,אשדוד,הרכבת,,2,0,5,,,29,0,6,1652608382335,168123.61000000034,631715.3900000006
16607,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,05/15/2022 09:13:03,,,,,4,0,5,,,268,0,10,1652608382335,198168.8200000003,667636.4199999999
16608,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/24/2022 16:37:58,,חולון,אילת,,2,0,0,,,0,0,8,1652608382336,177956.8700000001,658813.6199999992
16609,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/03/2022 14:42:06,,תל אביב - יפו,שד ירושלים,,2,0,0,,,0,0,10,1652608382336,177424.86000000034,662262.4000000004
16610,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:41:35,,,6 דרום,,3,0,5,,,183,0,10,1652608382336,201396.45999999996,691336.3800000008
16611,ROAD_CLOSED,ROAD_CLOSED_EVENT,05/14/2022 21:00:04,,כפר סבא,בן גוריון,,2,0,0,,,0,0,6,1652608382337,191484.13999999966,675480.1400000006
16612,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/15/2022 18:24:40,,ראשון לציון,שלמה לוי,,1,0,0,,,0,0,10,1652608382337,183694.99000000022,652624.1099999994
16613,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,05/15/2022 09:45:23,,,40 צפון,,6,0,5,,,354,0,10,1652608382337,191313.5499999998,660592.4299999997
16614,ROAD_CLOSED,ROAD_CLOSED_EVENT,01/31/2022 09:48:01,,בני ברק,פורצי כלא עכו,,1,0,0,,,0,0,10,1652608382337,183720.41000000015,666760.4499999993
16615,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:29:30,,בני ברק,הרב כהנמן,,2,0,5,,,349,0,5,1652608382338,185182.75,665298.9100000001
16616,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:46:45,,,"ל-471 פתח תקווה, אלעד",,4,0,5,,,169,0,5,1652608382338,193868.78000000026,664536.4000000004
16617,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:12:14,,,6 דרום,,3,0,5,,,201,0,10,1652608382338,198040.88999999966,681716.2699999996
16618,ROAD_CLOSED,ROAD_CLOSED_EVENT,01/04/2022 21:37:10,,אור יהודה,יגאל אלון,,2,0,0,,,0,0,10,1652608382339,186214.38999999966,659530.0600000005
16619,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:27:13,,,ל- 2 חיפה,,4,0,5,,,320,0,10,1652608382339,184610.08999999985,677854.6300000008
16620,JAM,JAM_MODERATE_TRAFFIC,05/15/2022 09:42:56,,,412,,7,0,5,,,39,0,5,1652608382339,188771.53000000026,659282.3100000005
16621,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:13:30,,תל אביב - יפו,לוי אשכול,,2,0,5,,,190,0,8,1652608382340,180324.33000000007,669064.6699999999
16622,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:38:54,,,471 מערב,,3,0,5,,,260,0,5,1652608382340,186403.65000000037,663911.3599999994
16623,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:22:16,,,ל- פתח תקווה,,4,0,5,,,255,0,10,1652608382340,188945.53000000026,669651.5
16624,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:37:10,,גבעת שמואל,דרך בר-אילן,,2,0,5,,,237,0,8,1652608382340,185741.34999999963,663770.9199999999
16625,ROAD_CLOSED,ROAD_CLOSED_EVENT,01/10/2022 14:00:03,,תל אביב - יפו,השומרון,,2,0,0,,,0,0,10,1652608382341,179225.83999999985,663041.8200000003
16626,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:34:46,,תל אביב - יפו,שגב,,1,0,5,,,67,0,5,1652608382341,176703.8099999996,662380.6699999999
16627,JAM,,05/15/2022 09:46:47,,תל אביב - יפו,דרך קיבוץ גלויות,,2,0,5,,,89,0,5,1652608382341,179867.38999999966,661597.5700000003
16628,ROAD_CLOSED,ROAD_CLOSED_EVENT,12/09/2021 18:44:06,,יהוד-מונוסון,תמר,,1,0,0,,,0,0,10,1652608382342,188271.1200000001,659466.2799999993
16629,ACCIDENT,,05/15/2022 09:50:23,,,57 מערב,,6,0,5,,,273,0,6,1652608382342,189521.38999999966,692202.7699999996
16630,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,05/15/2022 09:46:05,,הרצליה,יורדי ים,,1,0,5,,,219,0,5,1652608382343,180944.1900000004,674344.4600000009
16631,ROAD_CLOSED,ROAD_CLOSED_EVENT,12/12/2021 12:09:18,,תל אביב - יפו,,,2,0,0,,,0,0,10,1652608382343,179084.16000000015,663131.1799999997
16632,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:31:08,,,4 דרום,,3,0,5,,,241,0,10,1652608382343,186660.83999999985,670292.4499999993
16633,WEATHERHAZARD,HAZARD_ON_ROAD_CONSTRUCTION,02/07/2021 04:00:00,חסר מידע,,,,0,0,0,,,0,0,6,1652608382344,178825.86000000034,665089.1799999997
16634,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:50:45,,תל אביב - יפו,דרך קיבוץ גלויות,,2,0,5,,,90,0,5,1652608382345,180053.0700000003,661595.6500000004
16635,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:23:36,,פתח תקווה,מרטין גהל,,2,0,5,,,173,0,5,1652608382345,186131.38999999966,667595.7799999993
16636,JAM,JAM_HEAVY_TRAFFIC,05/15/2022 09:27:40,,הרצליה,שבעת הכוכבים,,2,0,5,,,265,0,6,1652608382345,182571.41000000015,674169.4100000001
16637,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:46:53,,,7 מערב,,3,0,5,,,292,0,5,1652608382345,176435.3700000001,635410.6199999992
16638,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:40:29,,,443 מערב,,6,0,5,,,293,0,6,1652608382345,197896.66000000015,650175.0
16639,ROAD_CLOSED,ROAD_CLOSED_EVENT,04/02/2022 21:00:00,,גבעתיים,טייבר,,1,0,0,,,0,0,10,1652608382345,181954.53000000026,664345.2400000002
16640,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,05/15/2022 09:48:17,,,42 צפון,,6,0,5,,,30,0,8,1652608382346,172288.0,636776.8100000005
16641,ROAD_CLOSED,ROAD_CLOSED_EVENT,04/22/2022 12:08:20,,תל אביב - יפו,שתולים,,1,0,0,,,0,0,10,1652608382346,180770.2999999998,661493.5800000001
16642,JAM,JAM_HEAVY_TRAFFIC,05/15/2022 09:22:51,,,6 דרום,,3,0,2,,,200,0,10,1652608382346,201561.98000000045,695711.4199999999
16643,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:26:10,,,ל- הרצליה (פיתוח),,4,0,5,,,15,0,7,1652608382347,182891.61000000034,674204.4600000009
16644,JAM,JAM_MODERATE_TRAFFIC,05/15/2022 09:44:11,,כפר סבא,ששת הימים,,2,0,5,,,294,0,5,1652608382347,190216.08000000007,675894.2400000002
16645,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,05/15/2022 09:50:05,,,6 דרום,,3,0,5,,,235,0,8,1652608382347,194370.3200000003,651923.4399999995
16646,JAM,JAM_HEAVY_TRAFFIC,05/15/2022 09:17:45,,,6 דרום,,3,0,5,,,214,0,10,1652608382347,196683.9400000004,679368.6199999992
16647,JAM,JAM_HEAVY_TRAFFIC,05/15/2022 09:50:13,,פתח תקווה,יצחק רבין,,2,0,5,,,3,0,5,1652608382348,186969.1299999999,665023.5700000003
16648,JAM,JAM_MODERATE_TRAFFIC,05/15/2022 09:46:52,,רמת גן,זאב זבוטינסקי,,2,0,5,,,242,0,5,1652608382349,182685.9500000002,666208.2400000002
16649,ROAD_CLOSED,ROAD_CLOSED_EVENT,08/12/2021 14:00:04,,תל אביב - יפו,בן סרוק,,1,0,0,,,0,0,10,1652608382349,179694.4400000004,665825.2200000007
16650,JAM,JAM_HEAVY_TRAFFIC,05/15/2022 09:45:35,,,ל-4 חיפה,,4,0,1,,,29,0,5,1652608382350,184958.83000000007,663691.3800000008
16651,ROAD_CLOSED,,05/15/2022 09:26:16,,תל אביב - יפו,אחד העם,,1,0,5,,,0,0,5,1652608382350,179117.66000000015,663981.2599999998
16652,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/10/2022 11:37:09,,תל אביב - יפו,ארלוזורוב,,2,0,0,,,0,0,10,1652608382350,178909.51999999955,666038.7699999996
16653,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:27:56,,,6 דרום,,3,0,5,,,201,0,10,1652608382350,199944.83999999985,686972.75
16654,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:35:39,,רמת השרון,משה סנה,,2,0,5,,,211,0,5,1652608382350,184290.0599999996,671063.5800000001
16655,ROAD_CLOSED,ROAD_CLOSED_EVENT,05/08/2022 13:00:00,,,ל- שד רבין,,4,0,0,,,0,0,10,1652608382350,177164.01999999955,655099.2799999993
16656,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:20:15,,פתח תקווה,מרטין גהל,,2,0,5,,,139,0,7,1652608382352,186099.4400000004,667699.6999999993
16657,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/10/2022 11:37:09,,תל אביב - יפו,ארלוזורוב,,2,0,0,,,0,0,10,1652608382352,179045.6900000004,665999.7799999993
16658,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:30:06,,,20 איילון צפון,,3,0,5,,,6,0,6,1652608382352,177323.33000000007,655798.6300000008
16659,ROAD_CLOSED,ROAD_CLOSED_EVENT,04/25/2022 12:56:33,,גבעת שמואל,יצחק שמיר,,1,0,0,,,0,0,10,1652608382352,186316.4500000002,664041.9800000004
16660,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:23:33,,,20 איילון דרום,,3,0,5,,,205,0,7,1652608382352,183703.33000000007,676379.0899999999
16661,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:41:29,,,40 צפון,,6,0,5,,,36,0,6,1652608382352,189494.6299999999,648316.4600000009
16662,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,05/15/2022 09:47:32,,,7 מערב,,3,0,5,,,311,0,10,1652608382352,175455.7000000002,635767.2799999993
16663,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/06/2022 09:05:17,,תל אביב - יפו,שד ירושלים,,2,0,0,,,0,0,6,1652608382353,177426.34999999963,662419.4100000001
16664,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/03/2022 14:42:06,,תל אביב - יפו,שד ירושלים,,2,0,0,,,0,0,10,1652608382353,177321.38999999966,661428.4299999997
16665,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/06/2022 09:05:17,,תל אביב - יפו,שד ירושלים,,2,0,0,,,0,0,10,1652608382353,177366.4400000004,661908.0899999999
16666,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:28:43,,רמת גן,ארלוזורוב,,2,0,5,,,297,0,5,1652608382354,181692.11000000034,665511.4900000002
16667,JAM,JAM_HEAVY_TRAFFIC,05/15/2022 09:22:26,,גבעת שמואל,דוד בן גוריון,,2,0,5,,,203,0,6,1652608382354,185670.73000000045,664941.8800000008
16668,WEATHERHAZARD,,05/15/2022 09:51:21,,,"ל-4 ירושלים, אשדוד",,4,0,5,,,141,0,5,1652608382354,186352.70999999996,670200.3599999994
